Owner_First_Name,Owner_Family_Name,Owner_Profession,Tenant_Name,Property_Functions,Rent_Price,Location,Parish,Property_Functions_Count,Longitude,Latitude
liberal,campi,,francesco zeni,"casa, bottega",70,campo vicino alla chiesa,san cancian,2,12.338315191259134,45.44039769105287
filippo,frari,,dio m'aiuti lazara,casa,60,campo vicino alla chiesa,san cancian,1,12.338431859140826,45.44027817805553
filippo,frari,,bortolamio piazza,bottega,4,campo vicino alla chiesa,san cancian,1,12.338492541778166,45.44031867953029
agostin,filippi,,stefano ratti,"casa, bottega",70,campo vicino alla chiesa,san cancian,2,12.338210776900992,45.440235357157874
ottavio,bertotti,,rocco rimondi,magazen,22,campo vicino alla chiesa,san cancian,1,12.338224520594393,45.440222175120766
ottavio,bertotti,,bortolamio piazza,mezà,12,campo vicino alla chiesa,san cancian,1,12.338238431311073,45.440205443670514
bortolamio,musitelli,,,cas vuota,24,campo vicino alla chiesa,san cancian,1,12.338250191632252,45.44019150471336
giacomo,bertin,,carlo altieri,casa,100,campo vicino alla chiesa,san cancian,1,12.338264035522352,45.44017619302411
giovanni francesco,morsoni,,carlo magno suaier,casa,180,traghetto di murano,san cancian,1,12.338190103164305,45.44046015464708
,lipomano,,nobil homo piero contarini fu de gabriel,casa,80,traghetto di murano,san cancian,1,12.338200560691329,45.44047390110309
,lipomano,,andrea bravetti e figli,casa,100,traghetto di murano,san cancian,1,12.33821780968211,45.44049349123837
,lipomano,,antonio fachinelli,casa,38,calle del traghetto,san cancian,1,12.338215620945622,45.44071161321409
giovannio francesco,morosini,,oratio chiamolera,casa,42,calle del traghetto,san cancian,1,12.338147697408443,45.44073916620339
giovanni francesco,morosini,,anzola milesi,casa,42,calle del traghetto,san cancian,1,12.338081216509844,45.44075751420209
,lipomano,,antonio benigna,casa,50,calle del traghetto,san cancian,1,12.338032853221454,45.44077699539022
antonio,bellegrno,,bortolamio litterini,casa,80,appresso calle morosini,san cancian,1,12.337652625003496,45.44089817753139
paolo,bellegno,,valentin giacomucci,casa,60,appresso calle morosini,san cancian,1,12.337615147347964,45.44090085659781
giovanni francesco,morosini,,domenico bettini,casa,24,appresso calle morosini,san cancian,1,12.33749531758002,45.44102313763506
giovanni francesco,morosini,,piero murer,casa,24,appresso calle morosini,san cancian,1,12.337517535713667,45.44102294528023
giovanni francesco,morosini,,piero murer,bottega,15,appresso calle morosini,san cancian,1,12.33753985409436,45.44102062327581
giovanni francesco,morosini,,zuanne zirello,casa a pepian,10,appresso calle morosini,san cancian,1,12.337561097246436,45.44101969750705
giovanni francesco,morosini,,lorenzo codognatto,"casa, bottega",53,appresso calle morosini,san cancian,2,12.337506427678816,45.441087356327046
giovanni francesco,morosini,,paolo pizzeghini,bottega,16,appresso calle morosini,san cancian,1,12.337530762880174,45.44108508137296
giovanni francesco,morosini,,andrea menegha marangon,"casa, bottega",30,appresso calle morosini,san cancian,2,12.337554189929078,45.4410806532448
andrea,cornel,,gaetano marini,casa,12,calle della regina,san cancian,1,12.331258725813717,45.439924037585946
giovanni francesco,morosini,,lorenzo manfrosti,bottega,14,campiello della cason,san cancian,1,12.337955325357273,45.44060107512663
giovanni francesco,morosini,,giacomo marchetti,magazen,9,campiello della cason,san cancian,1,12.337938790209744,45.44060921739288
giovanni francesco,morosini,,iseppo bellilios,magazen,46,campiello della cason,san cancian,1,12.3379244054777,45.44061456716869
giovanni francesco,morosini,,benetto ermani,casa,230,campiello della cason,san cancian,1,12.337780257300755,45.44067445376096
paolina,duodo,,giovanni maria crestan,casa,106,campiello della cason,san cancian,1,12.337604496682856,45.44067674984033
paolina,duodo,,pancratio zeltron,casa,85,campiello della cason,san cancian,1,12.337586278830736,45.44067774618952
giuseppe,guerrier,,marc'antonio finazzi,casa,80,campiello della cason,san cancian,1,12.33747127712957,45.44063313442515
,rinaldi,,zuanne rorer,casa,84,campiello della cason,san cancian,1,12.33753316020294,45.44051945090821
,spinaldi,,ventura mazzocco,magazen,12,campiello della cason,san cancian,1,12.337514101090555,45.44051687431442
giovanni francesco,morosini,,lorenzo zender,casa,74,campiello della cason,san cancian,1,12.33786345273242,45.44045111468471
giovanni francesco,morosini,,fortunata ston,casa,32,campiello della cason,san cancian,1,12.337898512382258,45.44045690707347
alvise,soranzo,,ventura mazzocco,"casa, bottega",10,campiello della cason,san cancian,2,12.33796840393468,45.44049478097546
angelo,grassi,,alvise tagliaferro,bottega,50,salizada appresso la chiesa,san cancian,1,12.338320325617133,45.4399667946842
giacomo,bertotti,,carlo caisman,bottega,20,salizada appresso la chiesa,san cancian,1,12.338168181799611,45.439917764115314
ottevaio,bertotti,,"zuanne briosi, nicolò fior e antnio fior",bottega,30,salizada appresso la chiesa,san cancian,1,12.338147339948147,45.43991017141991
lorenzo,tiepolo,,"zuanne briosi, nicolò fior e antonio bonomo",magazen,5,salizada appresso la chiesa,san cancian,1,12.33813046479572,45.43990409255729
lorenzo,tiepolo,,oratio chiamolera,bottega,24,salizada appresso la chiesa,san cancian,1,12.338445558644022,45.43994413136027
lorenzo,tiepolo,,vicenzo pella,casa,130,salizada appresso la chiesa,san cancian,1,12.338407808148071,45.43993116977447
lodovico,manin,,carlo frael,casa,135,salizada appresso la chiesa,san cancian,1,12.338375400191342,45.43991193681446
zorzi,contarini,,bortolamio tiboni,casa,180,salizada appresso la chiesa,san cancian,1,12.338356541662352,45.43990510107067
lorenzo,tiepolo,,antonio bettoni,bottega,12,salizada appresso la chiesa,san cancian,1,12.338340741673042,45.43989762598996
,acquisti,,giovanni maria pola e francesco brazzetti,bottega calzetta,20,salizada appresso la chiesa,san cancian,1,12.338291191358008,45.43987799323144
,acquisti,,iseppo franchini,bottega vendi sal,20,salizada appresso la chiesa,san cancian,1,12.338273307822222,45.43987189087324
anna maria,carua,,bortolo ceschi,bottega,20,salizada appresso la chiesa,san cancian,1,12.337953980561714,45.43983601682089
marc'antonio,tiepolo,,zuanne pedron,casa,56,fondamenta del bagatin,san cancian,1,12.337494573748826,45.44015966678641
marc'antonio,tiepolo,,domenico ballanin,casa,27,fondamenta del bagatin,san cancian,1,12.337552422698758,45.44004588914305
marc'antonio,tiepolo,,bortorlo giavaretti,casa,50,fondamenta del bagatin,san cancian,1,12.337558020734829,45.43999129880674
marc'antonio,tiepolo,,agostin visin,magazen,26,fondamenta del bagatin,san cancian,1,12.337574950760118,45.43995331802891
marc'antonio,tiepolo,,alessandra stoi,magazen,6,fondamenta del bagatin,san cancian,1,12.337584727846243,45.43993862221453
marc'antonio,tiepolo,,elisabetta gottardo castelli,"magazeni n. 2, casetta",30,fondamenta del bagatin,san cancian,2,12.33759840477958,45.439926860017735
nicolo,contarini,,domenico reggio,casa,50,fondamenta del bagatin,san cancian,1,12.337606198515244,45.43991140727391
piero,contarini,,marietta rosconi,"casa, bottega",120,giù dal ponte bagatin,san cancian,2,12.33759796918947,45.44017202802796
nicolo,contarini,,francesco roman,"casa, bottega",105,giù dal ponte bagatin,san cancian,2,12.337611005349167,45.44015243360757
piero,contarini,,rocco epis,casa,76,giù dal ponte bagatin,san cancian,1,12.337621116598935,45.44013063897198
giovanni francesco,pasqualigo basadonna,,giovanni battista nicolai,"casa, bottega",130,giù dal ponte bagatin,san cancian,2,12.337683834095651,45.43999920829636
andriana,zatterle,,giovanni battista nicolai,inviamento,90,giù dal ponte bagatin,san cancian,1,12.337693911875038,45.43997812353451
sebastian,lipomano,,cattarina venier,casa,70,giù dal ponte bagatin,san cancian,1,12.33770600640144,45.43995708581509
francesco,morosino,,cattarina venier,casa,20,giù dal ponte bagatin,san cancian,1,12.337726915031135,45.43996325882611
giovanni francesco,pasqualigo basadonna,,francesco rimondi,casa,28,giù dal ponte bagatin,san cancian,1,12.33771527626051,45.43993171823716
nicolo,dusto,,zuanne cinegotto,casa,90,giù dal ponte bagatin,san cancian,1,12.337732880418647,45.43990085977445
